username, created_at, lng, lat, text
BDaught98, Thu Jan 21 20:29:24 +0000 2021, -83.641199, 32.582630, @BigDavidMullins @AUHydrogen Been trying with Walmart’s website. It couldn’t have been available for more than 5 seconds. 
TatiJacky__, Thu Jan 21 20:29:24 +0000 2021, -75.117998, 40.004866, Being doubted by your Black Male boss &lt; 
Noah_Weisberg, Thu Jan 21 20:29:25 +0000 2021, -79.511947, 44.754232, Good. Probably the worst GG in Canadian history. 
jjmariselli, Thu Jan 21 20:29:25 +0000 2021, -117.851089, 33.842863, I really am not a fan of the Bernie memes but that’s just me. Not trying to take anything away from anyone else but… https://t.co/yU9DGSQQfc 
RCDG_PhD, Thu Jan 21 20:29:25 +0000 2021, -119.636189, 36.830799, @YMarieCarter Time for firing. 
RitaMcDougald6, Thu Jan 21 20:29:25 +0000 2021, -76.861894, 34.782058, For I know that my Redeemer lives, and that He shall stand at the latter day upon the earth.-Job 19:25 
SusanWTurnbull, Thu Jan 21 20:29:25 +0000 2021, -77.118503, 38.981337, @samirpaul He drinks Coke Zero- at least he did when he was at my house 10 years ago. 
Daniell61407997, Thu Jan 21 20:29:25 +0000 2021, -77.236969, 38.805115, @IlhanMN The money already mismanaged is sad. There are military guidelines for bah with and without dependents. Wh… https://t.co/17HZ8cQk4p 
EdmundCallaha10, Thu Jan 21 20:29:25 +0000 2021, -81.770758, 24.569344, https://t.co/sFv36kTHh2 Tom FL Tina ( Grumpy marathon-fl Marjorie Roberts caught up on bissett Homeland security ca… https://t.co/iKJjERIxrF 
almightydrew8, Thu Jan 21 20:29:25 +0000 2021, -95.508925, 29.574284, Man stop playing w these ppl 😂 out here thinking you finna drop an album 
ForgottenBoards, Thu Jan 21 20:29:25 +0000 2021, -74.012217, 40.201915, @TheStraightHops Tell that to Devon Butler. 
TheFabulousOne, Thu Jan 21 20:29:26 +0000 2021, -112.124676, 33.552863, One who didn't want to certify Pennsylvania and Arizona election results. Smells like #karma 
hdcummins, Thu Jan 21 20:29:26 +0000 2021, -86.142922, 39.779562, Like I needed anything else to go wrong in my life right now, I just found out that I have been exposed to COVID... FML 
flysolomin, Thu Jan 21 20:29:26 +0000 2021, -95.446486, 29.838495, @PalmerReport Get Biden's bills approved fast! 
RissaStacks, Thu Jan 21 20:29:26 +0000 2021, -81.367773, 28.501678, @koollaidmann_ u reaching 🤣 
Shawdaaaa, Thu Jan 21 20:29:26 +0000 2021, -100.076888, 31.168893, @TiffiePop85 Exactly 
Octaviamills_, Thu Jan 21 20:29:26 +0000 2021, -76.355918, 36.841764, Comfort is where things go to die 
tmj_roc_cstsrv, Thu Jan 21 20:29:26 +0000 2021, -77.590404, 43.198234, See our latest #Rochester, NY #CustomerService job opportunity and click the link in our bio to apply: Retail Stock… https://t.co/Mg1brI9OjZ 
KeithGrant09, Thu Jan 21 20:29:26 +0000 2021, -84.151150, 33.442425, @tracy50566972 Agreed 
MRezaParhizkari, Thu Jan 21 20:29:26 +0000 2021, -73.798150, 45.637860, @SaamGivrad عجب عکسی ، تابحال ندیده بودمش، ممنون. 
RunAGame, Thu Jan 21 20:29:26 +0000 2021, -77.236969, 38.805115, How it started............How it's going https://t.co/ddEcwbPbEP 
dariod_g, Thu Jan 21 20:29:27 +0000 2021, -76.593943, 24.074967, Covid test and quarantine ?!!!!! Dam 
hunter_lovell23, Thu Jan 21 20:29:27 +0000 2021, -77.014398, 38.898603, @MitchRabalais I know where you can find a few of these Blue Dog portraits in a certain Louisiana Senator’s office... 
93angelk, Thu Jan 21 20:29:27 +0000 2021, -98.500000, 29.416700, Just posted a photo @ San Antonio, Texas https://t.co/HGBjXnvAW7 
AdamGoesHam, Thu Jan 21 20:29:27 +0000 2021, -118.411907, 34.020789, @HIGH_Dr0 You’re right 
germanglezz04, Thu Jan 21 20:29:27 +0000 2021, -111.498181, 28.969863, Pues he estado leyendo puras teorías lo que pueda pasar #SÇK con #EdSer a partir del capítulo 29... Lo único que vo… https://t.co/EskwEpLsbg 
EricCervantes_, Thu Jan 21 20:29:27 +0000 2021, -117.104989, 32.810012, When you want to succeed as bad as you want to breath, then you will succeed. 
tmj_nct_finance, Thu Jan 21 20:29:27 +0000 2021, -79.658638, 36.107357, We're hiring! Click to apply: Project Analyst- Work From Home - https://t.co/SzjgpIdvN9 #Accounting #McLeansville, NC 
RNDC_USA_Jobs, Thu Jan 21 20:29:27 +0000 2021, -84.387982, 33.748995, Join the RNDC team! See our latest job opening here: https://t.co/n8TgfIinUs #SupplyChain #Atlanta, GA 
buenbella, Thu Jan 21 20:29:27 +0000 2021, -98.540651, 29.417501, @Unrealkxng @angelinejae_ LOOK AT THIS SHIT LMFAO 
allyesposito1, Thu Jan 21 20:29:27 +0000 2021, -76.689146, 39.061278, since covid I haven’t been living off of my planners like I usually do. Lesson learned? I need a planner &amp; I need to use It daily lol 
bijanrichie, Thu Jan 21 20:29:27 +0000 2021, -118.411907, 34.020789, 📍 
JamieHarrison__, Thu Jan 21 20:29:27 +0000 2021, -76.634125, 39.185639, @Jim16036349 created a Twitter account just to accuse Joe Biden of forcing NFL teams to hire white people? Fascinating. 
LISDCareers, Thu Jan 21 20:29:27 +0000 2021, -97.853069, 30.578806, Join the Leander ISD team! See our latest job opening here: https://t.co/v5W9e4vU5c #Education #Leander, TX 
Yamira3, Thu Jan 21 20:29:27 +0000 2021, -83.173867, 32.678207, @_DarlingNy Awww. Poor baby. I know the feeling. Some might be pick up only- Best Buy I think is the main one doing it that way. 
AngeDeusRex, Thu Jan 21 20:29:27 +0000 2021, -87.732013, 41.833585, -Long live the KING! #TeamGodzilla #GodzillavsKong #Godzilla 
tacosandwallies, Thu Jan 21 20:29:27 +0000 2021, -119.691975, 45.835749, earfrealm is just a playground 
StackedNStacks, Thu Jan 21 20:29:27 +0000 2021, -101.954563, 33.692749, Just posted a photo @ At'l Do Farms Corn Maize https://t.co/mUqm9bJwEe 
EagleFartsUSA, Thu Jan 21 20:29:27 +0000 2021, -104.622776, 38.269550, @DanSlott @dano_cosmic @MarkBrooksArt Forgot WAP!! 
brianrcraft, Thu Jan 21 20:29:28 +0000 2021, -77.014398, 38.898603, (I still make payments even in forbearance. It’s just the interest that was the killer) 
gymmermaid, Thu Jan 21 20:29:28 +0000 2021, -112.017688, 41.100490, 👏🏻🥺 
JK45PE, Thu Jan 21 20:29:28 +0000 2021, -74.150650, 41.068318, @MindBodySoulNRG @mshuff_HPE @coachmicfit @annaforcelledo Oops I’m supposed to give positive vibe words to you Mark… https://t.co/LM7wUSsKKH 
tmj_ak_nursing, Thu Jan 21 20:29:28 +0000 2021, -149.850373, 61.218923, See our latest Anchorage, AK Nursing job opportunity and click the link in our bio to apply: RN - Inpatient Rehab a… https://t.co/Wp06PtDcH7 
martinATM38, Thu Jan 21 20:29:28 +0000 2021, -118.292440, 33.822075, @JasanGM18 @viva_la_morte @__carlosxxx @EnElTartaro Hermano yo me creo todo lo que dice Javi, y más aún si me pasa… https://t.co/Z6uFuas08R 
terrys1999, Thu Jan 21 20:29:28 +0000 2021, -79.087874, 43.053899, @WilliamdeVry1 Pay no attention to people like this. 
tmj_pdx_jobs, Thu Jan 21 20:29:28 +0000 2021, -122.675723, 45.522065, Want to work at Oracle? We're hiring in #Portland, OR! Click for details: https://t.co/aa9tjtHY4Q 
tmj_MNS_schn, Thu Jan 21 20:29:28 +0000 2021, -93.552521, 45.187801, Want to work at Westaff? We're hiring in #Rogers, MN! Click for details: https://t.co/sjqI2KCxiv #packer 
nilton2302, Thu Jan 21 20:29:28 +0000 2021, -71.095257, 42.842810, @GeorgeDodejj O que aconteceu cabeça de ovo ? 
poderxsa, Thu Jan 21 20:29:28 +0000 2021, -95.446486, 29.838495, يممماه بموت شو هالجمال😰🥵 — انتو الجمال كله 🥺💜 https://t.co/XAuyvlJsKd 
tmj_abq_itpm, Thu Jan 21 20:29:28 +0000 2021, -106.605553, 35.085334, Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like "Service D… https://t.co/2eqEnNy1dV 
Djinn671, Thu Jan 21 20:29:28 +0000 2021, -92.959548, 44.991393, @RonFilipkowski Boo fucking hoo, you animated turd. 
CantonMercyJobs, Thu Jan 21 20:29:28 +0000 2021, -81.396269, 40.812134, See our latest Canton, OH job and click to apply: Chaplain - https://t.co/rWKgQvyTxi #LifeatCantonMercy #CantonMercyProud 
amylujan16, Thu Jan 21 20:29:28 +0000 2021, -100.076888, 31.168893, I want to go to MS so bad and sing my heart out 🥺 
unclebooyeh, Thu Jan 21 20:29:28 +0000 2021, -122.998970, 49.353963, @Akavish1 @alef_021 اتفاقا منم همیشه اینو در ادامه اش میگم. دستو بوسیدم 
tmj_PA_peds, Thu Jan 21 20:29:28 +0000 2021, -75.370458, 40.625932, See our latest #Bethlehem, PA #Pediatrics job opportunity and click the link in our bio to apply: Pediatric Special… https://t.co/w6CwGXGVfl 
sugurray4UGA, Thu Jan 21 20:29:28 +0000 2021, -92.131274, 34.751936, @BobbyWilson1004 @Pompano_Ann If i had'em you could smok'em🤣😂 
DuragDaSlumpGod, Thu Jan 21 20:29:29 +0000 2021, -72.054972, 41.352846, Boldy James and Rick Ross would make a timeless &amp; flawless project together 
carlo_llacar, Thu Jan 21 20:29:28 +0000 2021, -118.411907, 34.020789, @NickMiroff https://t.co/5V3EOCx3Zi 
LivinDeadGrl77, Thu Jan 21 20:29:29 +0000 2021, -104.622776, 38.269550, @TitoTit98139601 Ty💋💋💋 
BusterPterson, Thu Jan 21 20:29:29 +0000 2021, -80.181835, 38.920142, @VP SATUrN .. god of generation, dissolution, plenty, wealth, agriculture, periodic renewal and liberation.👻🌬️🍑🔵🪐 
realgentlemanty, Thu Jan 21 20:29:29 +0000 2021, -75.800141, 45.248791, @notnvke @FightfulWrestle Why because you’re anti wwe I see NJPW and wwe would be money they’ve worked great togeth… https://t.co/uj4gGT7ovI 
ddreyanicole, Thu Jan 21 20:29:29 +0000 2021, -82.669467, 40.365160, a memory has been unlocked 
SSnarking, Thu Jan 21 20:29:29 +0000 2021, -118.369645, 34.087010, @DWPippy @RonniLaurie He’ll no you’re not being too harsh. He sabotaged OUR mail!  Out! 
tmj_den_nursing, Thu Jan 21 20:29:29 +0000 2021, -104.839625, 39.702022, Looking to score a job at The Medical Center of Aurora? You're in luck. Click the link in our bio for the job descr… https://t.co/j24Ml8A1t9 
keepitsupreme, Thu Jan 21 20:29:29 +0000 2021, -110.915573, 32.189391, @TonyBa312 Mexicans are the most romantic idc 
ivanalacole, Thu Jan 21 20:29:29 +0000 2021, -80.846785, 35.209059, Not me making philly cheese steak egg rolls on my lunch break 😭 
FrederickJRutl1, Thu Jan 21 20:29:30 +0000 2021, -83.804475, 27.698682, @macarthur54 @ethicallyliving @POTUS How about now?❤️https://t.co/PNPMqaMxVs 
Robertoc07, Thu Jan 21 20:29:30 +0000 2021, -109.103726, 25.921947, @chuyaguilartoon 😂😂😂😂 Anda con todo Sr. 
jaydaddyxoxo, Thu Jan 21 20:29:30 +0000 2021, -115.133373, 36.249124, And I ooopppp 🐸☕️ 
queentj97, Thu Jan 21 20:29:30 +0000 2021, -111.967516, 41.082539, I got my boyfriend a $265 pro gaming chair with a foot rest &amp; everything for Valentine's Day; it came in early, he… https://t.co/oEfcxBGQKJ 
Rakafella_, Thu Jan 21 20:29:30 +0000 2021, -84.433106, 33.767195, Fuck em, Feed em, then delete em. #Gucci #mood 
JABARHENSON, Thu Jan 21 20:29:30 +0000 2021, -83.804475, 27.698682, @ScreamQue You gon get mine? 
BrettParnell463, Thu Jan 21 20:29:30 +0000 2021, -75.800141, 45.248791, Can we get a GG who has a bit of constitutional experience and won't avoid questions on support for the British monarchy. #cdnpoli 
ClaytonManship, Thu Jan 21 20:29:30 +0000 2021, -80.132962, 25.816966, https://t.co/y4xwWGcrBW 
Toasttothegods_, Thu Jan 21 20:29:30 +0000 2021, -82.587389, 28.004173, Too many racks around, I can't even flash the cheese- @42_Dugg https://t.co/fY78UZDO3g 
hushednolonger, Thu Jan 21 20:29:30 +0000 2021, -122.958344, 49.239654, 💛 🔥💙Now how can I be friends with the stunning #EllaEmhoff 🥰? #SuperStar ⭐️ 
Mr_talented17, Thu Jan 21 20:29:30 +0000 2021, -86.142922, 39.779562, Bigger and better 
carlos04978550, Thu Jan 21 20:29:31 +0000 2021, -118.156711, 33.809172, @heidi_belikov Pues aquí en el aeropuerto de Los Ángeles “LAX”, quiero ver cuando desciendan de el los PRIANRD y los ANGLOSAJONES MEXICANOS 
MommyGearest, Thu Jan 21 20:29:31 +0000 2021, -78.636469, 43.866011, @OnceADeeva Riiiiiiight. 
JeffSparbeck, Thu Jan 21 20:29:31 +0000 2021, -83.148043, 42.579003, @ggreenwald You’d think they’d be embarrassed, but they lack self-awareness to such a degree they don’t even consid… https://t.co/TYPugHzh3a 
SYLATX, Thu Jan 21 20:29:31 +0000 2021, -97.333200, 32.757400, Just posted a photo @ Fort Worth, Texas https://t.co/g59tkLTYPV 
tylerjlamarr, Thu Jan 21 20:29:31 +0000 2021, -73.968542, 40.780709, This is how you own a mistake. So refreshing. 
VONNIETHEHERO, Thu Jan 21 20:29:31 +0000 2021, -87.967292, 43.056722, Maybe you don’t understand 
Lawrenc94053320, Thu Jan 21 20:29:31 +0000 2021, -105.550890, 38.997936, @mandylawson7 https://t.co/xxW2CLoKBK 
Gera_675, Thu Jan 21 20:29:31 +0000 2021, -96.291649, 30.585471, @itsnotadelyo Same. same. https://t.co/uExJrBWpGR 
P8NTRMAN, Thu Jan 21 20:29:31 +0000 2021, -117.364356, 46.884679, 📌LETS SEE WHAT WILL HAPPEN!🤔#HELLONEARTH#MeneMeneTekelUpharsin#Writingonthewall#Unionjobseliminated… https://t.co/fPR2nReRN2 
twogetHERhigh, Thu Jan 21 20:29:31 +0000 2021, -95.446486, 29.838495, @said_travis 🤫🤞🏾🔥 
NsuarezDiaz, Thu Jan 21 20:29:31 +0000 2021, -80.347603, 25.876218, @GOPoversight @RepJamesComer https://t.co/K2ayhzNkDD 
ilsicilian, Thu Jan 21 20:29:31 +0000 2021, -100.366033, 25.650287, 🤦🏻‍♂️🤣🤣 https://t.co/mUhEeJZxXd 
dmacirish, Thu Jan 21 20:29:32 +0000 2021, -85.680261, 40.552181, How it started               How it’s going https://t.co/7M7uvS0c8J 
Muzzlewump, Thu Jan 21 20:29:32 +0000 2021, -95.446486, 29.838495, @alecsaagbayani @xphaqtor I've got to get one now! 
taylorhaaart, Thu Jan 21 20:29:32 +0000 2021, -122.330602, 47.614817, Y'all I've been rocking with only 4gb of RAM in my laptop and I just upgraded to 16gb 🤯 where my computer nerds at?!? I'm HYPED rn 
AngelaNJones3, Thu Jan 21 20:29:32 +0000 2021, -87.870564, 41.102930, Yes... I'm grateful. 
Scorpiomvp1, Thu Jan 21 20:29:33 +0000 2021, -80.170384, 25.964134, shop's Closet (@scorpiomvp) | Poshmark .#baby #sister #fashionistastyle #urbanstreetwear #stylishlook… https://t.co/rhaZQeppN4 
andre_bida, Thu Jan 21 20:29:33 +0000 2021, -85.569871, 42.197966, @schmittpaula 10 dias sem Twitter? Como é a sensação? 😉 
AlanKrabbenhoft, Thu Jan 21 20:29:33 +0000 2021, -86.142212, 40.472726, @elizabethalbell But think, they will provide her a nice orange jumpsuit.  The height of fashion.  At least on her cell block 
MemechelJackson, Thu Jan 21 20:29:33 +0000 2021, -122.280014, 47.469552, Yeah we spoke words but wtf is “talking” lol 
1027pink, Thu Jan 21 20:29:33 +0000 2021, -77.804690, 39.609218, @MeidasTouch Yes,  they are trying to keep tRUMP's bullshit alive.  And we shouldn't have to tolerate these ppl tha… https://t.co/oePBg4742O 
DavidWe18019162, Thu Jan 21 20:29:33 +0000 2021, -77.604684, 41.117936, This is possible⬇️⬇️⬇️ https://t.co/iEjKZJSuuW 
Lat1no3251Juan, Thu Jan 21 20:29:33 +0000 2021, -95.361523, 29.758767, Lunch walk with the kiddos 💕spotty is hiding under the bed lol .#walk #afterboonwalk #dogsofinstagram #furdad… https://t.co/JZtQtLag5Y 
Estuardo954, Thu Jan 21 20:29:33 +0000 2021, -80.149173, 26.150368, @stridinstrider @VoteBlue4Us 100% agree 
so_crownd, Thu Jan 21 20:29:34 +0000 2021, -75.117998, 40.004866, Redecorating my spot, new colors new things 
_SeanAllen, Thu Jan 21 20:29:34 +0000 2021, -115.038337, 36.006256, These @SenSanders memes comedy. 
SunshineSmith, Thu Jan 21 20:29:34 +0000 2021, -73.948775, 40.655138, @AlyssaCamillee 😩😩😩💔💔💔 
DillyDiIIy0, Thu Jan 21 20:29:34 +0000 2021, -93.208902, 30.331407, Joe Biden just said Covid is more likely to attack blacks, Latinos, and native Americans than it is the white man.... Covid is racist!!!! 
JulietteNordic, Thu Jan 21 20:29:34 +0000 2021, -81.044241, 29.291700, @MJ_WWEFAN4LIFE Lynn is the 2 time National Champion... so yes, quite a bit 💪 https://t.co/N74cvHfbKH 
KennyKnight, Thu Jan 21 20:29:34 +0000 2021, -121.978894, 37.341303, Having a moment with one of my #ViceCandles. #2 is up... @wourivice https://t.co/BE6BhSlG7z 
Bri_Amaru, Thu Jan 21 20:29:34 +0000 2021, -77.930853, 34.551384, 🥴 
Locolizardman, Thu Jan 21 20:29:34 +0000 2021, -76.873971, 41.247086, @uhfrank Love love loved this game. 
JohnNetworQ, Thu Jan 21 20:29:34 +0000 2021, -121.910345, 38.016752, U tweet something from ur draft by mistake ? 
LAmaiden3, Thu Jan 21 20:29:34 +0000 2021, -118.411907, 34.020789, @morasee Weak bs 
DavidPr96997297, Thu Jan 21 20:29:34 +0000 2021, -149.758794, 61.235042, @Rahnaseeta I’m just challenging your pouting...but whatever. We’re back in the Paris Climate Accords. That’s a sta… https://t.co/MKkkLma7C0 
KelleyE29081037, Thu Jan 21 20:29:34 +0000 2021, -116.399697, 43.612072, @Denise00887902 @pryorandy @jvn And lies 
rebeccamoucha, Thu Jan 21 20:29:34 +0000 2021, -121.238088, 37.816454, None.He'll be like Scrooge McDuck saying " mine mine mine. It's all mine! 
YuCanThankMeNow, Thu Jan 21 20:29:34 +0000 2021, -117.975154, 34.094001, @TiaLoops Lmaoooo es un pinche juguete que quería cuando era niña but i never got it. Until now me lo compró alguien 🥺😩♥️ 
tinaleichty, Thu Jan 21 20:29:34 +0000 2021, -94.675094, 38.931549, @TheHannSolo I finally understand 🥰 
